observer,cd,targ_side,bk,t,rt,acc
d6,long,absent,block 2,178,4.741,1
d6,long,heterogeneous,block 2,179,7.542,0
d6,long,homogeneous,block 2,180,1.001,1
d6,long,homogeneous,block 2,181,0.872,1
d6,long,heterogeneous,block 2,182,8.342,1
d6,long,absent,block 2,183,1.911,0
d6,long,homogeneous,block 2,184,0.661,1
d6,long,absent,block 2,185,8.442,1
d6,long,heterogeneous,block 2,186,8.092,0
d6,long,homogeneous,block 2,187,0.952,1
d6,long,absent,block 2,188,9.102,0
d6,long,absent,block 2,189,15.112,1
d6,long,absent,block 2,190,11.442,1
d6,long,absent,block 2,191,3.272,0
d6,long,heterogeneous,block 2,192,4.952,1
d7,brief,heterogeneous,block 2,97,2.972,0
d7,brief,homogeneous,block 2,98,0.711,1
d7,brief,absent,block 2,99,3.011,1
d7,brief,absent,block 2,100,1.462,1
d7,brief,absent,block 2,101,1.202,1
d7,brief,heterogeneous,block 2,102,1.071,0
d7,brief,absent,block 2,103,1.982,1
d7,brief,homogeneous,block 2,104,0.621,1
d7,brief,homogeneous,block 2,105,0.641,1
d7,brief,homogeneous,block 2,106,0.561,1
d7,brief,homogeneous,block 2,107,0.502,1
d7,brief,absent,block 2,108,1.332,1
d7,brief,heterogeneous,block 2,109,1.451,0
d7,brief,absent,block 2,110,2.551,1
d7,brief,absent,block 2,111,2.122,1
d7,brief,homogeneous,block 2,112,0.621,1
d7,brief,absent,block 2,113,1.261,1
d7,brief,absent,block 2,114,1.291,1
d7,brief,homogeneous,block 2,115,0.661,1
d7,brief,absent,block 2,116,1.471,1
d7,brief,absent,block 2,117,0.871,1
d7,brief,absent,block 2,118,1.352,1
d7,brief,heterogeneous,block 2,119,1.722,0
d7,brief,homogeneous,block 2,120,0.561,1
d7,brief,absent,block 2,121,2.431,1
d7,brief,absent,block 2,122,1.992,1
d7,brief,heterogeneous,block 2,123,1.771,0
d7,brief,absent,block 2,124,2.722,0
d7,brief,homogeneous,block 2,125,0.702,1
d7,brief,absent,block 2,126,1.131,1
d7,brief,absent,block 2,127,2.172,1
d7,brief,absent,block 2,128,1.762,1
d7,brief,homogeneous,block 2,129,0.881,1
d7,brief,absent,block 2,130,1.401,1
d7,brief,heterogeneous,block 2,131,1.381,0
d7,brief,absent,block 2,132,1.631,1
d7,brief,absent,block 2,133,2.801,1
d7,brief,absent,block 2,134,1.942,1
d7,brief,absent,block 2,135,1.701,1
d7,brief,heterogeneous,block 2,136,1.461,1
d7,brief,homogeneous,block 2,137,0.761,1
d7,brief,absent,block 2,138,1.962,1
d7,brief,homogeneous,block 2,139,0.721,1
d7,brief,homogeneous,block 2,140,0.821,1
d7,brief,homogeneous,block 2,141,0.612,1
d7,brief,heterogeneous,block 2,142,0.842,1
d7,brief,homogeneous,block 2,143,0.711,1
