observer,cd,bk,t,n,hetero_fix,ts
d1,brief,block 2,191,3,0,1.9791666666666667
d1,brief,block 2,191,4,0,1.9791666666666667
d1,brief,block 2,192,2,1,1.9895833333333333
d1,brief,block 2,192,3,1,1.9895833333333333
d1,brief,block 2,192,4,0,1.9895833333333333
d1,brief,block 2,192,5,0,1.9895833333333333
d1,brief,block 2,192,6,1,1.9895833333333333
d1,long,block 1,1,2,1,0
d1,long,block 1,1,3,1,0
d1,long,block 1,1,4,1,0
d1,long,block 1,1,5,1,0
d1,long,block 1,1,6,1,0
d1,long,block 1,2,2,0,0.010416666666666666
d1,long,block 1,2,3,1,0.010416666666666666
d1,long,block 1,2,4,1,0.010416666666666666
d1,long,block 1,2,5,1,0.010416666666666666
d1,long,block 1,2,6,1,0.010416666666666666
d1,long,block 1,3,2,1,0.020833333333333332
d1,long,block 1,3,3,1,0.020833333333333332
d1,long,block 1,3,4,1,0.020833333333333332
d1,long,block 1,3,5,1,0.020833333333333332
d1,long,block 1,3,6,1,0.020833333333333332
d1,long,block 1,4,2,1,0.03125
d1,long,block 1,4,3,1,0.03125
d1,long,block 1,4,4,0,0.03125
d1,long,block 1,4,5,0,0.03125
d1,long,block 1,4,6,0,0.03125
d1,long,block 1,5,2,0,0.041666666666666664
d1,long,block 1,5,3,0,0.041666666666666664
d1,long,block 1,5,4,0,0.041666666666666664
d1,long,block 1,5,5,0,0.041666666666666664
d1,long,block 1,5,6,0,0.041666666666666664
d1,long,block 1,6,2,0,0.052083333333333336
d1,long,block 1,6,3,1,0.052083333333333336
d1,long,block 1,6,4,0,0.052083333333333336
d1,long,block 1,6,5,0,0.052083333333333336
d1,long,block 1,6,6,0,0.052083333333333336
d1,long,block 1,7,2,1,0.0625
d1,long,block 1,7,3,0,0.0625
d1,long,block 1,7,4,0,0.0625
d1,long,block 1,8,2,1,0.07291666666666667
d1,long,block 1,8,3,1,0.07291666666666667
d1,long,block 1,8,4,0,0.07291666666666667
d1,long,block 1,8,5,1,0.07291666666666667
d1,long,block 1,8,6,1,0.07291666666666667
d1,long,block 1,9,2,1,0.08333333333333333
d1,long,block 1,9,3,1,0.08333333333333333
d1,long,block 1,9,4,1,0.08333333333333333
d1,long,block 1,9,5,1,0.08333333333333333
d1,long,block 1,9,6,0,0.08333333333333333
d1,long,block 1,10,2,1,0.09375
d1,long,block 1,10,3,1,0.09375
d1,long,block 1,10,4,0,0.09375
d1,long,block 1,10,5,0,0.09375
d1,long,block 1,10,6,0,0.09375
d1,long,block 1,11,2,1,0.10416666666666667
d1,long,block 1,11,3,1,0.10416666666666667
d1,long,block 1,11,4,1,0.10416666666666667
d1,long,block 1,11,5,1,0.10416666666666667
d1,long,block 1,11,6,1,0.10416666666666667
d1,long,block 1,12,2,1,0.11458333333333333
d1,long,block 1,12,3,0,0.11458333333333333
d1,long,block 1,12,4,0,0.11458333333333333
d1,long,block 1,12,5,0,0.11458333333333333
d1,long,block 1,12,6,0,0.11458333333333333
d1,long,block 1,13,2,1,0.125
d1,long,block 1,13,3,1,0.125
d1,long,block 1,13,4,0,0.125
d1,long,block 1,13,5,0,0.125
d1,long,block 1,13,6,0,0.125
d1,long,block 1,14,2,1,0.13541666666666666
